"","P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"58","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"lower_bound_accuracy+sample",NA,"10%",30,0.111736816837944,0.118485654708823,960,2669,409134,41125
"59","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"lower_bound_accuracy+sample",NA,"10%",50,0.111736816837944,0.118485654708823,960,2669,409134,41125
"60","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"lower_bound_accuracy+sample",NA,"5%",30,0.11273497929739,0.119933515857576,977,2669,409134,34788
"61","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"lower_bound_accuracy+sample",NA,"5%",50,0.11273497929739,0.119933515857576,977,2669,409134,34788
"62","accuracy+numtrials","75%",NA,50,NA,"bounds_rt+z",200,3000,NA,NA,3,"none",NA,NA,NA,0.112524771656669,0.120115270538564,1000,2669,409134,26462
"63","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"accuracy","25%",NA,NA,0.131667919123901,0.771586494445591,999,2669,409134,20321
"64","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"accuracy","50%",NA,NA,0.131891365711234,0.772658122340405,996,2669,409134,21494
"65","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,30,0.131667919123901,0.771586494445591,999,2669,409134,20321
"66","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","25%",NA,50,0.131667919123901,0.771586494445591,999,2669,409134,20321
"67","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,30,0.131891365711234,0.772658122340405,996,2669,409134,21494
"68","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"accuracy+sample","50%",NA,50,0.131891365711234,0.772658122340405,996,2669,409134,21494
"69","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"10%",NA,0.132840521685991,0.783962098718353,960,2669,409134,35246
"70","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy",NA,"5%",NA,0.132130404835305,0.779888823510459,977,2669,409134,28685
"71","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%",30,0.132840521685991,0.783962098718353,960,2669,409134,35246
"72","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"10%",50,0.132840521685991,0.783962098718353,960,2669,409134,35246
"73","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%",30,0.132130404835305,0.779888823510459,977,2669,409134,28685
"74","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"lower_bound_accuracy+sample",NA,"5%",50,0.132130404835305,0.779888823510459,977,2669,409134,28685
"75","accuracy+numtrials","75%",NA,50,NA,"none",NA,NA,NA,NA,NA,"none",NA,NA,NA,0.1314836786156,0.771222225636467,1000,2669,409134,19946
"76","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy","25%",NA,NA,0.133572097192699,0.171856118976487,999,2627,409134,106205
"77","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy","50%",NA,NA,0.134122548905107,0.171779436533326,996,2627,409134,107092
"78","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","25%",NA,30,0.133572097192699,0.171856118976487,999,2627,409134,106205
"79","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","25%",NA,50,0.133572097192699,0.171856118976487,999,2627,409134,106205
"80","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","50%",NA,30,0.134122548905107,0.171779436533326,996,2627,409134,107092
"81","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"accuracy+sample","50%",NA,50,0.134122548905107,0.171779436533326,996,2627,409134,107092
"82","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy",NA,"10%",NA,0.132723445811523,0.170638771685262,960,2627,409134,118408
"83","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy",NA,"5%",NA,0.1341050771647,0.171426121285594,977,2627,409134,112985
"84","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"10%",30,0.132723445811523,0.170638771685262,960,2627,409134,118408
"85","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"10%",50,0.132723445811523,0.170638771685262,960,2627,409134,118408
"86","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"5%",30,0.1341050771647,0.171426121285594,977,2627,409134,112985
"87","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"lower_bound_accuracy+sample",NA,"5%",50,0.1341050771647,0.171426121285594,977,2627,409134,112985
"88","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","10%",NA,"none",NA,NA,NA,0.1334798213938,0.171794867103192,1000,2627,409134,105893
"89","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","25%",NA,NA,0.121224720529192,0.156645917181092,999,2627,409134,96938
"90","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy","50%",NA,NA,0.121661712425193,0.156598335133742,996,2627,409134,97925
"91","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","25%",NA,30,0.121224720529192,0.156645917181092,999,2627,409134,96938
"92","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","25%",NA,50,0.121224720529192,0.156645917181092,999,2627,409134,96938
"93","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,30,0.121661712425193,0.156598335133742,996,2627,409134,97925
"94","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"accuracy+sample","50%",NA,50,0.121661712425193,0.156598335133742,996,2627,409134,97925
"95","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy",NA,"10%",NA,0.119668076365803,0.154511574561551,960,2627,409134,110059
"96","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy",NA,"5%",NA,0.121222411995441,0.156398761088997,977,2627,409134,104286
"97","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"10%",30,0.119668076365803,0.154511574561551,960,2627,409134,110059
"98","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"10%",50,0.119668076365803,0.154511574561551,960,2627,409134,110059
"99","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"5%",30,0.121222411995441,0.156398761088997,977,2627,409134,104286
"100","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"lower_bound_accuracy+sample",NA,"5%",50,0.121222411995441,0.156398761088997,977,2627,409134,104286
"101","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"10%","5%",NA,"none",NA,NA,NA,0.121154631275367,0.156583183538757,1000,2627,409134,96611
